x,y,z
0, 0, 4.17966e-05
0, 0.00390625, 4.44772e-05
0, 0.0078125, 4.77415e-05
0, 0.0117188, 5.1154e-05
0, 0.015625, 5.47908e-05
0, 0.0195312, 5.84532e-05
0, 0.0234375, 6.22749e-05
0, 0.0273438, 6.60763e-05
0, 0.03125, 6.99226e-05
0, 0.0351562, 7.37394e-05
0, 0.0390625, 7.76262e-05
0, 0.0429688, 8.14196e-05
0, 0.046875, 8.5196e-05
0, 0.0507812, 8.88561e-05
0, 0.0546875, 9.2518e-05
0, 0.0585938, 9.60672e-05
0, 0.0625, 9.95727e-05
0, 0.0664062, 0.000103004
0, 0.0703125, 0.000106461
0, 0.0742188, 0.000109785
0, 0.078125, 0.000113044
0, 0.0820312, 0.000116132
0, 0.0859375, 0.000119202
0, 0.0898438, 0.000122081
0, 0.09375, 0.000124881
0, 0.0976562, 0.000127516
0, 0.101562, 0.000130145
0, 0.105469, 0.000132563
0, 0.109375, 0.000134905
0, 0.113281, 0.00013705
0, 0.117188, 0.000139166
0, 0.121094, 0.000141135
0, 0.125, 0.000143054
0, 0.128906, 0.000144898
0, 0.132812, 0.000146774
0, 0.136719, 0.000148514
0, 0.140625, 0.000150186
0, 0.144531, 0.000151684
0, 0.148438, 0.000153157
0, 0.152344, 0.000154439
0, 0.15625, 0.000155634
0, 0.160156, 0.000156666
0, 0.164062, 0.000157695
0, 0.167969, 0.000158499
0, 0.171875, 0.000159212
0, 0.175781, 0.000159695
0, 0.179688, 0.000160137
0, 0.183594, 0.000160393
0, 0.1875, 0.000160569
0, 0.191406, 0.000160621
0, 0.195312, 0.000160685
0, 0.199219, 0.000160552
0, 0.203125, 0.000160313
0, 0.207031, 0.000159842
0, 0.210938, 0.000159328
0, 0.214844, 0.000158573
0, 0.21875, 0.000157713
0, 0.222656, 0.000156658
0, 0.226562, 0.000155594
0, 0.230469, 0.000154289
0, 0.234375, 0.000152905
0, 0.238281, 0.000151308
0, 0.242188, 0.000149696
0, 0.246094, 0.000147939
0, 0.25, 0.000146147
0, 0.253906, 0.000144287
0, 0.257812, 0.000142466
0, 0.261719, 0.000140515
0, 0.265625, 0.000138502
0, 0.269531, 0.000136332
0, 0.273438, 0.000134144
0, 0.277344, 0.000131798
0, 0.28125, 0.000129388
0, 0.285156, 0.000126856
0, 0.289062, 0.00012433
0, 0.292969, 0.000121637
0, 0.296875, 0.000118889
0, 0.300781, 0.000115986
0, 0.304688, 0.000113073
0, 0.308594, 0.000110054
0, 0.3125, 0.000107007
0, 0.316406, 0.000103906
0, 0.320312, 0.000100829
0, 0.324219, 9.76466e-05
0, 0.328125, 9.44094e-05
0, 0.332031, 9.10494e-05
0, 0.335938, 8.76741e-05
0, 0.339844, 8.41789e-05
0, 0.34375, 8.06378e-05
0, 0.347656, 7.70123e-05
0, 0.351562, 7.33967e-05
0, 0.355469, 6.96723e-05
0, 0.359375, 6.59228e-05
0, 0.363281, 6.20829e-05
0, 0.367188, 5.82569e-05
0, 0.371094, 5.43798e-05
0, 0.375, 5.0505e-05
0, 0.378906, 4.66127e-05
0, 0.382812, 4.27435e-05
0, 0.386719, 3.88269e-05
0, 0.390625, 3.48913e-05
0, 0.394531, 3.0905e-05
0, 0.398438, 2.69165e-05
0, 0.402344, 2.2892e-05
0, 0.40625, 1.886e-05
0, 0.410156, 1.48147e-05
0, 0.414062, 1.07769e-05
0, 0.417969, 6.72271e-06
0, 0.421875, 2.67207e-06
0, 0.425781, -1.37813e-06
0, 0.429688, -5.41042e-06
0, 0.433594, -9.42061e-06
0, 0.4375, -1.34051e-05
0, 0.441406, -1.73578e-05
0, 0.445312, -2.12976e-05
0, 0.449219, -2.52025e-05
0, 0.453125, -2.90842e-05
0, 0.457031, -3.2914e-05
0, 0.460938, -3.67247e-05
0, 0.464844, -4.04688e-05
0, 0.46875, -4.41732e-05
0, 0.472656, -4.78046e-05
0, 0.476562, -5.14145e-05
0, 0.480469, -5.4936e-05
0, 0.484375, -5.84116e-05
0, 0.488281, -6.17967e-05
0, 0.492188, -6.51489e-05
0, 0.496094, -6.8426e-05
0, 0.5, -7.16654e-05
0, 0.503906, -7.48637e-05
0, 0.507812, -7.80717e-05
0, 0.511719, -8.12117e-05
0, 0.515625, -8.43157e-05
0, 0.519531, -8.73271e-05
0, 0.523438, -9.03253e-05
0, 0.527344, -9.32128e-05
0, 0.53125, -9.60481e-05
0, 0.535156, -9.87831e-05
0, 0.539062, -0.000101518
0, 0.542969, -0.000104108
0, 0.546875, -0.000106635
0, 0.550781, -0.000109004
0, 0.554688, -0.000111341
0, 0.558594, -0.000113539
0, 0.5625, -0.000115673
0, 0.566406, -0.00011771
0, 0.570312, -0.000119757
0, 0.574219, -0.000121648
0, 0.578125, -0.000123456
0, 0.582031, -0.000125071
0, 0.585938, -0.00012665
0, 0.589844, -0.00012802
0, 0.59375, -0.000129293
0, 0.597656, -0.000130386
0, 0.601562, -0.00013146
0, 0.605469, -0.000132308
0, 0.609375, -0.000133069
0, 0.613281, -0.00013362
0, 0.617188, -0.000134133
0, 0.621094, -0.000134492
0, 0.625, -0.000134792
0, 0.628906, -0.000135011
0, 0.632812, -0.000135251
0, 0.636719, -0.000135345
0, 0.640625, -0.000135359
0, 0.644531, -0.000135187
0, 0.648438, -0.000134979
0, 0.652344, -0.00013457
0, 0.65625, -0.000134066
0, 0.660156, -0.000133391
0, 0.664062, -0.000132703
0, 0.667969, -0.000131786
0, 0.671875, -0.000130773
0, 0.675781, -0.000129528
0, 0.679688, -0.000128237
0, 0.683594, -0.000126762
0, 0.6875, -0.000125206
0, 0.691406, -0.000123529
0, 0.695312, -0.000121855
0, 0.699219, -0.000119988
0, 0.703125, -0.000118014
0, 0.707031, -0.000115813
0, 0.710938, -0.000113567
0, 0.714844, -0.000111089
0, 0.71875, -0.000108509
0, 0.722656, -0.000105743
0, 0.726562, -0.000102965
0, 0.730469, -9.99609e-05
0, 0.734375, -9.68787e-05
0, 0.738281, -9.35936e-05
0, 0.742188, -9.02905e-05
0, 0.746094, -8.6846e-05
0, 0.75, -8.3357e-05
0, 0.753906, -7.97891e-05
0, 0.757812, -7.62333e-05
0, 0.761719, -7.25431e-05
0, 0.765625, -6.87827e-05
0, 0.769531, -6.48702e-05
0, 0.773438, -6.09331e-05
0, 0.777344, -5.68548e-05
0, 0.78125, -5.27222e-05
0, 0.785156, -4.84874e-05
0, 0.789062, -4.42561e-05
0, 0.792969, -3.98992e-05
0, 0.796875, -3.55109e-05
0, 0.800781, -3.10214e-05
0, 0.804688, -2.6541e-05
0, 0.808594, -2.2009e-05
0, 0.8125, -1.74757e-05
0, 0.816406, -1.29249e-05
0, 0.820312, -8.39092e-06
0, 0.824219, -3.81049e-06
0, 0.828125, 7.83079e-07
0, 0.832031, 5.41762e-06
0, 0.835938, 1.00319e-05
0, 0.839844, 1.46644e-05
0, 0.84375, 1.9272e-05
0, 0.847656, 2.38707e-05
0, 0.851562, 2.84277e-05
0, 0.855469, 3.29651e-05
0, 0.859375, 3.74427e-05
0, 0.863281, 4.18603e-05
0, 0.867188, 4.6201e-05
0, 0.871094, 5.04491e-05
0, 0.875, 5.46077e-05
0, 0.878906, 5.86775e-05
0, 0.882812, 6.2705e-05
0, 0.886719, 6.66308e-05
0, 0.890625, 7.04777e-05
0, 0.894531, 7.41946e-05
0, 0.898438, 7.78495e-05
0, 0.902344, 8.13557e-05
0, 0.90625, 8.47617e-05
0, 0.910156, 8.80395e-05
0, 0.914062, 9.1295e-05
0, 0.917969, 9.43814e-05
0, 0.921875, 9.73574e-05
0, 0.925781, 0.000100127
0, 0.929688, 0.000102855
0, 0.933594, 0.000105337
0, 0.9375, 0.000107702
0, 0.941406, 0.000109843
0, 0.945312, 0.000111992
0, 0.949219, 0.000113886
0, 0.953125, 0.000115711
0, 0.957031, 0.00011732
0, 0.960938, 0.000119005
0, 0.964844, 0.000120453
0, 0.96875, 0.000121948
0, 0.972656, 0.000123266
0, 0.976562, 0.0001247
0, 0.980469, 0.00012602
0, 0.984375, 0.000127489
0, 0.988281, 0.000129071
0, 0.992188, 0.000130813
0, 0.996094, 0.000132734
0, 1, 0.000134725

0.00390625, 0, 0.0245784
0.00390625, 0.00390625, 0.0245739
0.00390625, 0.0078125, 0.024555
0.00390625, 0.0117188, 0.0245216
0.00390625, 0.015625, 0.0244736
0.00390625, 0.0195312, 0.024411
0.00390625, 0.0234375, 0.0243338
0.00390625, 0.0273438, 0.024242
0.00390625, 0.03125, 0.0241356
0.00390625, 0.0351562, 0.0240148
0.00390625, 0.0390625, 0.0238795
0.00390625, 0.0429688, 0.0237298
0.00390625, 0.046875, 0.0235659
0.00390625, 0.0507812, 0.0233877
0.00390625, 0.0546875, 0.0231955
0.00390625, 0.0585938, 0.0229892
0.00390625, 0.0625, 0.0227691
0.00390625, 0.0664062, 0.0225353
0.00390625, 0.0703125, 0.022288
0.00390625, 0.0742188, 0.0220272
0.00390625, 0.078125, 0.0217531
0.00390625, 0.0820312, 0.0214659
0.00390625, 0.0859375, 0.0211657
0.00390625, 0.0898438, 0.0208527
0.00390625, 0.09375, 0.0205271
0.00390625, 0.0976562, 0.0201891
0.00390625, 0.101562, 0.0198389
0.00390625, 0.105469, 0.0194767
0.00390625, 0.109375, 0.0191027
0.00390625, 0.113281, 0.0187172
0.00390625, 0.117188, 0.0183204
0.00390625, 0.121094, 0.0179126
0.00390625, 0.125, 0.0174939
0.00390625, 0.128906, 0.0170648
0.00390625, 0.132812, 0.0166254
0.00390625, 0.136719, 0.016176
0.00390625, 0.140625, 0.0157168
0.00390625, 0.144531, 0.0152482
0.00390625, 0.148438, 0.0147704
0.00390625, 0.152344, 0.0142836
0.00390625, 0.15625, 0.0137882
0.00390625, 0.160156, 0.0132846
0.00390625, 0.164062, 0.0127728
0.00390625, 0.167969, 0.0122534
0.00390625, 0.171875, 0.0117265
0.00390625, 0.175781, 0.0111925
0.00390625, 0.179688, 0.0106517
0.00390625, 0.183594, 0.0101045
0.00390625, 0.1875, 0.00955112
0.00390625, 0.191406, 0.00899208
0.00390625, 0.195312, 0.0084276
0.00390625, 0.199219, 0.00785802
0.00390625, 0.203125, 0.00728364
0.00390625, 0.207031, 0.00670485
0.00390625, 0.210938, 0.00612196
0.00390625, 0.214844, 0.00553532
0.00390625, 0.21875, 0.00494528
0.00390625, 0.222656, 0.00435226
0.00390625, 0.226562, 0.00375656
0.00390625, 0.230469, 0.00315857
0.00390625, 0.234375, 0.0025586
0.00390625, 0.238281, 0.00195709
0.00390625, 0.242188, 0.00135435
0.00390625, 0.246094, 0.000750827
0.00390625, 0.25, 0.000146849
0.00390625, 0.253906, -0.000457136
0.00390625, 0.257812, -0.00106083
0.00390625, 0.261719, -0.00166386
0.00390625, 0.265625, -0.00226591
0.00390625, 0.269531, -0.00286659
0.00390625, 0.273438, -0.00346556
0.00390625, 0.277344, -0.00406246
0.00390625, 0.28125, -0.00465694
0.00390625, 0.285156, -0.00524858
0.00390625, 0.289062, -0.00583709
0.00390625, 0.292969, -0.00642209
0.00390625, 0.296875, -0.00700327
0.00390625, 0.300781, -0.00758021
0.00390625, 0.304688, -0.00815263
0.00390625, 0.308594, -0.00872011
0.00390625, 0.3125, -0.00928233
0.00390625, 0.316406, -0.00983891
0.00390625, 0.320312, -0.0103896
0.00390625, 0.324219, -0.0109339
0.00390625, 0.328125, -0.0114718
0.00390625, 0.332031, -0.0120027
0.00390625, 0.335938, -0.0125264
0.00390625, 0.339844, -0.0130426
0.00390625, 0.34375, -0.0135509
0.00390625, 0.347656, -0.0140511
0.00390625, 0.351562, -0.0145429
0.00390625, 0.355469, -0.0150258
0.00390625, 0.359375, -0.0154998
0.00390625, 0.363281, -0.0159644
0.00390625, 0.367188, -0.0164194
0.00390625, 0.371094, -0.0168645
0.00390625, 0.375, -0.0172994
0.00390625, 0.378906, -0.0177239
0.00390625, 0.382812, -0.0181376
0.00390625, 0.386719, -0.0185405
0.00390625, 0.390625, -0.0189322
0.00390625, 0.394531, -0.0193124
0.00390625, 0.398438, -0.0196811
0.00390625, 0.402344, -0.0200379
0.00390625, 0.40625, -0.0203827
0.00390625, 0.410156, -0.0207151
0.00390625, 0.414062, -0.0210351
0.00390625, 0.417969, -0.0213424
0.00390625, 0.421875, -0.0216369
0.00390625, 0.425781, -0.0219183
0.00390625, 0.429688, -0.0221864
0.00390625, 0.433594, -0.0224413
0.00390625, 0.4375, -0.0226825
0.00390625, 0.441406, -0.0229101
0.00390625, 0.445312, -0.0231239
0.00390625, 0.449219, -0.0233237
0.00390625, 0.453125, -0.0235095
0.00390625, 0.457031, -0.0236811
0.00390625, 0.460938, -0.0238384
0.00390625, 0.464844, -0.0239813
0.00390625, 0.46875, -0.0241097
0.00390625, 0.472656, -0.0242236
0.00390625, 0.476562, -0.0243229
0.00390625, 0.480469, -0.0244075
0.00390625, 0.484375, -0.0244773
0.00390625, 0.488281, -0.0245324
0.00390625, 0.492188, -0.0245727
0.00390625, 0.496094, -0.0245982
0.00390625, 0.5, -0.0246088
0.00390625, 0.503906, -0.0246047
0.00390625, 0.507812, -0.0245857
0.00390625, 0.511719, -0.0245519
0.00390625, 0.515625, -0.0245034
0.00390625, 0.519531, -0.02444
0.00390625, 0.523438, -0.024362
0.00390625, 0.527344, -0.0242692
0.00390625, 0.53125, -0.0241618
0.00390625, 0.535156, -0.0240399
0.00390625, 0.539062, -0.0239035
0.00390625, 0.542969, -0.0237526
0.00390625, 0.546875, -0.0235874
0.00390625, 0.550781, -0.023408
0.00390625, 0.554688, -0.0232144
0.00390625, 0.558594, -0.0230068
0.00390625, 0.5625, -0.0227853
0.00390625, 0.566406, -0.0225501
0.00390625, 0.570312, -0.0223014
0.00390625, 0.574219, -0.0220391
0.00390625, 0.578125, -0.0217636
0.00390625, 0.582031, -0.0214749
0.00390625, 0.585938, -0.0211732
0.00390625, 0.589844, -0.0208587
0.00390625, 0.59375, -0.0205315
0.00390625, 0.597656, -0.020192
0.00390625, 0.601562, -0.0198403
0.00390625, 0.605469, -0.0194765
0.00390625, 0.609375, -0.0191009
0.00390625, 0.613281, -0.0187138
0.00390625, 0.617188, -0.0183154
0.00390625, 0.621094, -0.0179059
0.00390625, 0.625, -0.0174857
0.00390625, 0.628906, -0.0170549
0.00390625, 0.632812, -0.0166139
0.00390625, 0.636719, -0.0161628
0.00390625, 0.640625, -0.015702
0.00390625, 0.644531, -0.0152317
0.00390625, 0.648438, -0.0147522
0.00390625, 0.652344, -0.0142638
0.00390625, 0.65625, -0.0137667
0.00390625, 0.660156, -0.0132613
0.00390625, 0.664062, -0.0127478
0.00390625, 0.667969, -0.0122266
0.00390625, 0.671875, -0.011698
0.00390625, 0.675781, -0.0111623
0.00390625, 0.679688, -0.0106197
0.00390625, 0.683594, -0.0100708
0.00390625, 0.6875, -0.00951571
0.00390625, 0.691406, -0.00895492
0.00390625, 0.695312, -0.0083887
0.00390625, 0.699219, -0.00781739
0.00390625, 0.703125, -0.00724127
0.00390625, 0.707031, -0.00666074
0.00390625, 0.710938, -0.00607611
0.00390625, 0.714844, -0.00548775
0.00390625, 0.71875, -0.00489598
0.00390625, 0.722656, -0.00430124
0.00390625, 0.726562, -0.00370383
0.00390625, 0.730469, -0.00310412
0.00390625, 0.734375, -0.00250245
0.00390625, 0.738281, -0.00189924
0.00390625, 0.742188, -0.00129481
0.00390625, 0.746094, -0.000689581
0.00390625, 0.75, -8.38991e-05
0.00390625, 0.753906, 0.000521808
0.00390625, 0.757812, 0.00112723
0.00390625, 0.761719, 0.00173201
0.00390625, 0.765625, 0.00233581
0.00390625, 0.769531, 0.00293824
0.00390625, 0.773438, 0.00353897
0.00390625, 0.777344, 0.0041376
0.00390625, 0.78125, 0.00473381
0.00390625, 0.785156, 0.00532717
0.00390625, 0.789062, 0.00591738
0.00390625, 0.792969, 0.00650405
0.00390625, 0.796875, 0.00708687
0.00390625, 0.800781, 0.00766543
0.00390625, 0.804688, 0.0082394
0.00390625, 0.808594, 0.00880841
0.00390625, 0.8125, 0.00937214
0.00390625, 0.816406, 0.00993019
0.00390625, 0.820312, 0.0104823
0.00390625, 0.824219, 0.0110281
0.00390625, 0.828125, 0.0115673
0.00390625, 0.832031, 0.0120995
0.00390625, 0.835938, 0.0126244
0.00390625, 0.839844, 0.0131418
0.00390625, 0.84375, 0.0136512
0.00390625, 0.847656, 0.0141524
0.00390625, 0.851562, 0.014645
0.00390625, 0.855469, 0.0151288
0.00390625, 0.859375, 0.0156035
0.00390625, 0.863281, 0.0160687
0.00390625, 0.867188, 0.0165242
0.00390625, 0.871094, 0.0169697
0.00390625, 0.875, 0.0174049
0.00390625, 0.878906, 0.0178296
0.00390625, 0.882812, 0.0182435
0.00390625, 0.886719, 0.0186464
0.00390625, 0.890625, 0.019038
0.00390625, 0.894531, 0.0194181
0.00390625, 0.898438, 0.0197864
0.00390625, 0.902344, 0.0201427
0.00390625, 0.90625, 0.0204868
0.00390625, 0.910156, 0.0208186
0.00390625, 0.914062, 0.0211377
0.00390625, 0.917969, 0.0214441
0.00390625, 0.921875, 0.0217375
0.00390625, 0.925781, 0.0220177
0.00390625, 0.929688, 0.0222845
0.00390625, 0.933594, 0.0225378
0.00390625, 0.9375, 0.0227775
0.00390625, 0.941406, 0.0230034
