x,y,z
0, 0, 0.00017406
0, 0.0078125, 0.000193911
0, 0.015625, 0.000211846
0, 0.0234375, 0.000228051
0, 0.03125, 0.000242631
0, 0.0390625, 0.000255662
0, 0.046875, 0.0002672
0, 0.0546875, 0.00027729
0, 0.0625, 0.000285973
0, 0.0703125, 0.000293285
0, 0.078125, 0.000299257
0, 0.0859375, 0.000303922
0, 0.09375, 0.000307309
0, 0.101562, 0.000309449
0, 0.109375, 0.00031037
0, 0.117188, 0.000310102
0, 0.125, 0.000308676
0, 0.132812, 0.000306122
0, 0.140625, 0.000302473
0, 0.148438, 0.000297759
0, 0.15625, 0.000292016
0, 0.164062, 0.000285276
0, 0.171875, 0.000277577
0, 0.179688, 0.000268953
0, 0.1875, 0.000259444
0, 0.195312, 0.000249087
0, 0.203125, 0.000237922
0, 0.210938, 0.00022599
0, 0.21875, 0.000213334
0, 0.226562, 0.000199995
0, 0.234375, 0.000186018
0, 0.242188, 0.000171446
0, 0.25, 0.000156326
0, 0.257812, 0.000140704
0, 0.265625, 0.000124627
0, 0.273438, 0.000108141
0, 0.28125, 9.12947e-05
0, 0.289062, 7.41367e-05
0, 0.296875, 5.67155e-05
0, 0.304688, 3.90801e-05
0, 0.3125, 2.12796e-05
0, 0.320312, 3.36318e-06
0, 0.328125, -1.46201e-05
0, 0.335938, -3.26211e-05
0, 0.34375, -5.0591e-05
0, 0.351562, -6.84814e-05
0, 0.359375, -8.62442e-05
0, 0.367188, -0.000103832
0, 0.375, -0.000121197
0, 0.382812, -0.000138295
0, 0.390625, -0.000155078
0, 0.398438, -0.000171503
0, 0.40625, -0.000187526
0, 0.414062, -0.000203105
0, 0.421875, -0.000218199
0, 0.429688, -0.000232767
0, 0.4375, -0.000246771
0, 0.445312, -0.000260174
0, 0.453125, -0.00027294
0, 0.460938, -0.000285034
0, 0.46875, -0.000296426
0, 0.476562, -0.000307083
0, 0.484375, -0.000316976
0, 0.492188, -0.00032608
0, 0.5, -0.000334369
0, 0.507812, -0.000341818
0, 0.515625, -0.000348409
0, 0.523438, -0.00035412
0, 0.53125, -0.000358936
0, 0.539062, -0.000362841
0, 0.546875, -0.000365822
0, 0.554688, -0.000367869
0, 0.5625, -0.000368974
0, 0.570312, -0.00036913
0, 0.578125, -0.000368334
0, 0.585938, -0.000366582
0, 0.59375, -0.000363877
0, 0.601562, -0.000360221
0, 0.609375, -0.000355617
0, 0.617188, -0.000350074
0, 0.625, -0.0003436
0, 0.632812, -0.000336207
0, 0.640625, -0.000327907
0, 0.648438, -0.000318716
0, 0.65625, -0.000308651
0, 0.664062, -0.000297732
0, 0.671875, -0.000285978
0, 0.679688, -0.000273414
0, 0.6875, -0.000260063
0, 0.695312, -0.000245951
0, 0.703125, -0.000231107
0, 0.710938, -0.00021556
0, 0.71875, -0.000199341
0, 0.726562, -0.00018248
